,favorite_count,retweeted,truncated,is_quote_status,in_reply_to_user_id,retweet_count,in_reply_to_status_id,id,lang,in_reply_to_status_id_str,quoted_status_id,id_str,full_text,source_url,in_reply_to_screen_name,favorited,possibly_sensitive,quoted_status_id_str,source,in_reply_to_user_id_str,author,author_id
0,0.0,False,False,False,,0.0,,1.209483898884907e+18,es,,,1209483898884907009,Feminazis ni que hijueputas.,http://twitter.com/download/android,,False,,,Twitter for Android,,_Anticristi,1206325013630128128
1,0.0,False,False,False,1649373096.0,0.0,1.2034705329618493e+18,1.2053399214368604e+18,es,1203470532961849345,,1205339921436860416,@Gonkano Locas Feminazi aborteras matabebes.,http://twitter.com/download/android,Gonkano,False,,,Twitter for Android,1649373096,kronos2160,2410000885
2,0.0,False,False,False,8.867671680876093e+17,0.0,1.209880018895151e+18,1.2098875701775114e+18,es,1209880018895151105,,1209887570177511425,@GermanT00752596 @TmazRsc Ahora me salieron feminazis jajaja https://t.co/gYCSQbsAhu,http://twitter.com/download/android,GermanT00752596,False,False,,Twitter for Android,886767168087609344,UnaPamplemusa,1157343656505950209
3,0.0,False,False,False,,0.0,,1.2024392802216632e+18,es,,,1202439280221663233,"Joda aquí en Twitter si debe haber feminazi, menor tengo cuidado con lo que digo.",http://twitter.com/download/android,,False,,,Twitter for Android,,julianmtz89,604083083
4,0.0,False,False,False,7.206830924411863e+17,0.0,1.2074542562755584e+18,1.2076185491430154e+18,es,1207454256275558401,,1207618549143015425,"@salartesoro No soy anti lgtb...no me molestan...ni me preocupan, son menos peligrosos que las extremistas feminazis y aborteras.",http://twitter.com/download/android,he_plays_sitar,False,,,Twitter for Android,720683092441186304,sse30611,258962306
5,0.0,False,False,False,1.1143692424455619e+18,0.0,1.2128026768003604e+18,1.212813782071808e+18,es,1212802676800360448,,1212813782071808006,"@La3EnDiscordia Típico programita feminazi y asqueroso.
Aplaudiendo la infidelidad de la esposa hacia el marido.
Es un asco que este tipo de programas exista si quiera.",http://twitter.com/download/android,La3EnDiscordia,False,,,Twitter for Android,1114369242445561856,MarioERivas,61022013
6,0.0,False,False,False,,0.0,,1.2374028925644022e+18,es,,,1237402892564402176,"#oraciónmartes Oro por los padres solteros. Señor ilumínalos para ejercer su paternidad muy a pesar de las feminazis y de la sociedad que los estigmatice en vez de propender porque los hombres, solteros o no, ...",https://mobile.twitter.com,,False,,,Twitter Web App,,robertoriverosa,29133990
7,0.0,False,False,False,,0.0,,1.208758595074048e+18,es,,,1208758595074048001,"No veo a las ""sororas""(ejército feminazi) manifestar ni mierda acerca del bullying que le están haciendo a la congresista, que gente tan de doble moral, incluso las he visto burlándose, si hubiera sido Maria José Pizarro por ejemplo, estarían haciendo lo mismo?",http://twitter.com/download/android,,False,,,Twitter for Android,,DotorMataLawyer,867875121557581824
8,3.0,False,False,False,9.18144054411649e+17,0.0,1.2106421288729027e+18,1.2106431489989386e+18,es,1210642128872902662,,1210643148998938625,"@drummniatico No se vaya asustar! Ese es el gremio de feminazis... el cuartel de las feas, que si le dices preciosas, se ofenden, xq piensa que te le burlas, pues ellas saben que no lo son! https://t.co/c2akcV1IJf",http://twitter.com/download/android,drummniatico,False,False,,Twitter for Android,918144054411649026,gracielam2714,307428012
9,0.0,False,False,False,2238948698.0,0.0,1.2135053707457905e+18,1.2135369472951378e+18,es,1213505370745790464,,1213536947295137794,@nomadagt Y empieza de nuevo el lobby feminazi,http://twitter.com/download/android,nomadagt,False,,,Twitter for Android,2238948698,edwinquiran,4032243503
